"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 성동구 용답동(1120079000)","12,039","12,039","281","540","2,677","2,059","1,408","1,902","1,626","958","530","56","2"
"서울특별시 광진구 (1121500000)","335,554","335,554","15,208","23,804","58,849","54,943","48,103","53,156","45,536","23,571","10,928","1,413","43"
"서울특별시 광진구 화양동(1121571000)","23,193","23,193","284","632","10,229","4,793","2,039","1,967","1,663","1,029","498","58","1"
"서울특별시 광진구 군자동(1121573000)","19,070","19,070","645","933","4,270","3,443","2,477","2,643","2,536","1,382","674","65","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,239","15,239","565","670","2,805","3,059","1,946","2,314","2,159","1,146","505","68","2"
"서울특별시 광진구 중곡제2동(1121575000)","20,521","20,521","830","1,240","3,304","3,662","2,829","3,344","3,038","1,581","619","70","4"
"서울특별시 광진구 중곡제3동(1121576000)","15,727","15,727","605","837","2,317","2,735","2,053","2,677","2,521","1,344","581","57","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,594","27,594","1,015","1,662","3,947","4,041","3,564","5,114","4,652","2,445","1,035","115","4"
"서울특별시 광진구 능동(1121578000)","11,097","11,097","432","492","2,229","2,470","1,608","1,453","1,300","733","345","33","2"
"서울특별시 광진구 광장동(1121581000)","33,971","33,971","2,415","5,377","3,849","3,312","6,841","6,055","3,461","1,572","913","172","4"
"서울특별시 광진구 자양제1동(1121582000)","21,833","21,833","723","1,378","3,881","3,822","3,132","3,383","3,064","1,585","781","83","1"
"서울특별시 광진구 자양제2동(1121583000)","23,628","23,628","1,209","1,676","3,220","3,689","3,541","3,913","3,697","1,829","745","106","3"
"서울특별시 광진구 자양제3동(1121584000)","27,221","27,221","1,958","2,410","3,437","3,867","4,239","4,546","3,832","1,793","956","178","5"
"서울특별시 광진구 자양제4동(1121584700)","19,883","19,883","786","906","3,249","3,362","2,569","3,156","3,214","1,775","779","85","2"
"서울특별시 광진구 구의제1동(1121585000)","23,127","23,127","859","1,163","4,733","4,602","3,218","3,453","2,850","1,450","704","92","3"
"서울특별시 광진구 구의제2동(1121586000)","25,610","25,610","1,308","2,144","3,299","3,597","3,981","4,451","3,771","2,046","910","97","6"
"서울특별시 광진구 구의제3동(1121587000)","27,840","27,840","1,574","2,284","4,080","4,489","4,066","4,687","3,778","1,861","883","134","4"
"서울특별시 동대문구 (1123000000)","341,149","341,149","18,302","22,607","56,872","49,462","48,695","52,540","48,556","28,348","14,080","1,630","57"
"서울특별시 동대문구 용신동(1123053600)","38,410","38,410","1,985","1,898","6,999","7,032","5,547","5,583","5,032","2,701","1,467","159","7"
"서울특별시 동대문구 제기동(1123054500)","23,014","23,014","796","1,166","4,360","2,982","2,609","3,476","3,707","2,442","1,322","147","7"
"서울특별시 동대문구 전농제1동(1123056000)","32,157","32,157","1,976","2,058","4,849","4,476","4,734","5,320","4,718","2,565","1,298","158","5"
"서울특별시 동대문구 전농제2동(1123057000)","17,958","17,958","983","1,559","2,006","2,090","2,666","3,152","2,883","1,647","888","82","2"
"서울특별시 동대문구 답십리제1동(1123060000)","27,843","27,843","2,285","1,902","3,821","4,852","4,654","4,046","3,496","1,802","874","103","8"
